"ID (do not edit)","Content type","Element type","Source language (EN)","Target language (ZH)"
"{""contentId"":""0045375b-3374-4ffc-808c-ce89e7dd5497"",""fieldId"":""compFeatures.wPhoto.data.uri"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto","1af91d_589e00b949f04e9d8252d792fc9ad41d~mv2.jpg","8a7c18_392d4f5441d94d88b9b6500c7c9f5121~mv2.jpg"
"{""contentId"":""0045375b-3374-4ffc-808c-ce89e7dd5497"",""fieldId"":""compFeatures.wPhoto.data.title"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto",,
"{""contentId"":""0045375b-3374-4ffc-808c-ce89e7dd5497"",""fieldId"":""compFeatures.wPhoto.data.description"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto",,
"{""contentId"":""0045375b-3374-4ffc-808c-ce89e7dd5497"",""fieldId"":""compFeatures.wPhoto.data.alt"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto","9247abcf-683f-4ca3-85d6-360c43aa27ed.JPG","9247abcf-683f-4ca3-85d6-360c43aa27ed.JPG"
"{""contentId"":""00769cb5-ca8d-4aae-ba13-cf839214ab46"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<blockquote class=""font_6"" style=""font-size:20px; line-height:1.8em; text-align:center""><span style=""font-weight:normal;""><span style=""font-size:20px"">refers to the use of words that have some reference to a physical or visible disability.&nbsp; For example, some use the expression &ldquo;the blind leading the blind&rdquo; to refer to people who do not know what they are doing.</span></span></blockquote>","<blockquote class=""font_6"" style=""font-size:20px; line-height:1.8em; text-align:center""><span style=""font-weight:normal;""><span style=""font-size:20px"">指使用與身體或明顯殘疾有關的字詞。例如，有些人用「盲人引導盲人」來指那些不知道自己在做什麼的人。</span></span></blockquote>"
"{""contentId"":""0147e9d1-923b-4c11-8fa3-5d46eb674f72"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<p class=""font_7"" style=""font-size:18px; line-height:1.8em""><span style=""font-size:18px;""><span style=""color:#000000""><span style=""font-style:normal""><span style=""font-family:proxima-n-w01-reg,proxima-n-w05-reg,sans-serif""><span style=""font-weight:400"">Cindy has dedicated herself to youth advocacy and education, inspired by a lifelong passion for making a difference and the example set by her brother, Philemon Choi Yuen Wan, the founder of Breakthrough Organisation and the Youth Global Network. After transitioning from a career in investment banking, Cindy has become deeply committed to enhancing student well-being, promoting quality education, and developing leadership training for educational and NGO leaders. She also actively supports projects within Christian organizations, drawing on her strong faith and values.&nbsp; As an advisor to various NGOs, Cindy has played a pivotal role in initiatives like the Catalyst Education Lab&#39;s &quot;Cultivating Leadership in Education&quot; program. This experience led her to co-found the Neurodiversity Association Hong Kong with Emily, where she champions a strength-based approach that affirms the positive values of the neurodiverse community to the general public.</span></span></span></span></span></p>","<p class=""font_7"" style=""font-size:18px; line-height:1.8em""><span style=""font-size:18px""><span style=""color:#000000""><span style=""font-style:normal""><span style=""font-family:proxima-n-w01-reg,proxima-n-w05-reg,sans-serif""><span style=""font-weight:400"">受畢生對改變世界的熱情以及突破組織和青年全球網路創始人蔡元雲樹立的榜樣的啟發，Cindy 致力於青年倡導和教育。從投資銀行職業轉型後，Cindy 堅定地致力於提高學生福祉、促進優質教育以及為教育和非政府組織領導人開展領導力培訓。她也運用自己堅定的信仰和價值觀，積極支持基督教組織內的計畫。身為多個非政府組織的顧問，Cindy 在 Catalyst 教育實驗室的「培養教育領導」計畫等措施中發揮了關鍵作用。這段經歷使她與艾米麗共同創立了香港神經多樣性協會，在那裡她倡導一種基於力量的方法，向公眾肯定神經多樣性社區的積極價值觀。</span></span></span></span></span></p>"
"{""contentId"":""0180cac4-3991-45f9-90a0-d11a1acf72d2"",""fieldId"":""compFeatures.wPhoto.data.uri"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto","1af91d_2c2af110f1c0426aa671bf00e715b556~mv2.png","1af91d_2c2af110f1c0426aa671bf00e715b556~mv2.png"
"{""contentId"":""0180cac4-3991-45f9-90a0-d11a1acf72d2"",""fieldId"":""compFeatures.wPhoto.data.title"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto",,
"{""contentId"":""0180cac4-3991-45f9-90a0-d11a1acf72d2"",""fieldId"":""compFeatures.wPhoto.data.description"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto",,
"{""contentId"":""0180cac4-3991-45f9-90a0-d11a1acf72d2"",""fieldId"":""compFeatures.wPhoto.data.alt"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WPhoto","Screen Shot 2024-06-05 at 5.06.02 PM.png","Emily Kwan"
"{""contentId"":""01c9438b-78af-4f9a-8f69-610d9cc13c56"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<blockquote class=""font_6"" style=""font-size:20px; line-height:1.8em; text-align:center""><span style=""font-weight:normal""><span style=""font-size:20px"">is a person whose neurological function is considered as different from that of the majority.</span></span></blockquote>","<blockquote class=""font_6"" style=""font-size:20px; line-height:1.8em; text-align:center""><span style=""font-weight:normal""><span style=""font-size:20px"">是一個<a href=""https://www.facebook.com/hashtag/%E8%85%A6%E5%8A%9B%E5%A4%9A%E5%85%83?__eep__=6&amp;__cft__[0]=AZWD4e4ahAY30jKcpAZgHJ0XbZrQQFUlbQ1uSWcx8_WDgoV9H1GyzsThGwHEicgUVk7ZGOequCBcHH70XvFFRAoUPiSyEpQyqGzDjsTHRFSga-DBWvMKq88iaVfQpiTovOOe0yH5TW59Y8dHlgfqk5serDFaRjZ3GR3QGbKb5rNbkA&amp;__tn__=*NK-R"">腦力</a></span><span style=""letter-spacing:0.1em""><span style=""font-size:20px""><a href=""https://www.facebook.com/hashtag/%E8%85%A6%E5%8A%9B%E5%A4%9A%E5%85%83?__eep__=6&amp;__cft__[0]=AZWD4e4ahAY30jKcpAZgHJ0XbZrQQFUlbQ1uSWcx8_WDgoV9H1GyzsThGwHEicgUVk7ZGOequCBcHH70XvFFRAoUPiSyEpQyqGzDjsTHRFSga-DBWvMKq88iaVfQpiTovOOe0yH5TW59Y8dHlgfqk5serDFaRjZ3GR3QGbKb5rNbkA&amp;__tn__=*NK-R"">性</a></span></span><span style=""font-size:20px""><span style=""text-decoration:underline""></span>被認為與大多數人不同的人。</span></span></blockquote>"
"{""contentId"":""02769436-f59f-4a55-9f56-1ef8c6c4b27d"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}","TEXT","wysiwyg.viewer.components.WRichText","<blockquote class=""font_6"" style=""font-size:20px; line-height:1.8em; text-align:center""><span style=""font-weight:normal;""><span style=""font-size:20px"">advocates for attitude system and policy change to align with the neurodiversity paradigm</span></span></blockquote>","<blockquote class=""font_6"" style=""font-size:20px; line-height:1.8em; text-align:center""><span style=""font-weight:normal""><span style=""font-size:20px"">倡導態度系統和政策改變，以符合</span></span><span style=""color:#162d3d""><span style=""font-style:normal""><span style=""font-family:madefor,helveticaneue,sans-serif""><span style=""font-weight:400""><span style=""font-size:14px"">創辦人兼主席</span></span></span></span></span><span style=""font-weight:normal""><span style=""font-size:20px"">性範式</span></span></blockquote>"
